EstablishmentName,Easting,Northing
Sir John Cass's Foundation Primary School,533498,181201
City of London School for Girls,532301,181746
St Paul's Cathedral School,532160,181151
City of London School,531981,180844
Thomas Coram Centre,530464,182403
Agincourt House,527663,185479
Camden Primary Pupil Referral Unit,529107,182641
Argyle Primary School,530238,182761
Beckford Primary School,524888,185067
Brecknock Primary School,529912,184835
Brookfield Primary School,528706,186594
Carlton Primary School,528386,185209
Edith Neville Primary School,529725,183195
Fleet Primary School,527677,185424
Hawley Infant School,528895,184038
Netley Primary School,529095,182598
New End Primary School,526483,185916
Primrose Hill School,528304,183909
Rhyl Primary School,528334,184823
Richard Cobden Primary School,529342,183487
Torriano Junior School,529559,185072
Torriano Infant School,529559,185072
Gospel Oak Primary School,528230,185638
Fitzjohn's Primary School,526566,185411
Eleanor Palmer Primary School,529117,185613
"Christ Church Primary School, Hampstead",526518,186095
Christ Church School,528821,182991
Emmanuel Church of England Primary School,525336,185264
Hampstead Parochial Church of England Primary School,526301,185733
"Holy Trinity CofE Primary School, NW3",526445,184601
"Holy Trinity and Saint Silas CofE Primary School, NW1",528675,184432
Kentish Town Church of England Primary School,529113,185066
Rosary Roman Catholic Primary School,527199,185281
St Alban's Church of England Primary School,531156,181834
St Aloysius Roman Catholic Junior School,529505,183062
St Aloysius Roman Catholic Infant School,529641,182910
St Dominic Catholic Primary School,527842,185252
St George the Martyr Church of England Primary School,530763,182065
St Josephs Primary School,530415,181368
St Mary's Kilburn Church of England Primary School,525389,183932
St Mary and St Pancras Church of England Primary School,529495,183146
St Michael's Church of England Primary School,529204,183886
St Patrick's Catholic Primary School,528861,185010
St Paul's Church of England Primary School,527498,184129
St Eugene de Mazenod Roman Catholic Primary School,525360,183998
Our Lady Roman Catholic Primary School,529268,183862
Haverstock School,528159,184498
Parliament Hill School,528369,186019
Regent High School,529527,183299
Hampstead School,524402,185633
Acland Burghley School,528962,185931
The Camden School for Girls,529441,184659
Maria Fidelis Roman Catholic Convent School FCJ,529666,182953
William Ellis School,528267,186049
La Sainte Union Catholic Secondary School,528379,186191
Children's Hospital School at Gt Ormond Street and UCH,530533,182041
St Christopher's School,526978,185153
St Margaret's School,525551,185876
Sarum Hall School,527291,184479
The Hall School,526932,184533
University College School,526202,185414
The Cavendish School,528739,183866
St Mary's School,526543,185092
North Bridge House School,526368,184811
Hereward House School,527001,184495
St Anthony's Preparatory School,526536,185454
North Bridge House,526549,184913
Lyndhurst House Preparatory School,526875,185297
Hampstead Hill School,527085,185400
North Bridge House Senior School,528627,183598
Trevor-Roberts School,526981,184414
South Hampstead High School,526491,184607
The Village School,527781,184808
Heathside Preparatory School,526506,185985
Devonshire House Preparatory School,526456,185413
Broadhurst School,526211,184422
College Francais Bilingue De Londres,528672,184981
Royal School Hampstead,526640,185531
Fine Arts College,527362,184681
Rainbow Montessori School,525526,184221
The Mulberry House School,524350,185100
The Phoenix School,526485,184553
Southbank International School,526368,184950
Frank Barnes School for Deaf Children,526914,184112
Chalcot School,528594,184450
Royal Free Hospital Children's School,527297,185410
Swiss Cottage School - Development & Research Centre,526914,184029
Rachel McMillan Nursery School,537362,177674
Pound Park Nursery School,541837,178429
Abbey Wood Nursery School,546762,178508
Robert Owen Early Years Centre,539393,178453
Newhaven Pupil Referral Unit,541731,175472
Millennium Primary School,539725,179099
Alderwood Primary School,545054,174230
Bannockburn Primary School,545529,178546
Morden Mount Primary School,538003,176437
Cherry Orchard Primary School,541222,177219
Ealdham Primary School,541517,175119
Fossdene Primary School,540841,178110
Gallions Mount Primary School,545821,178268
Gordon Primary School,542832,175288
Greenacres Primary School and Language Impairment Unit,543070,172575
Haimo Primary School,541948,174911
Halstow Primary School,540019,178163
Henwick Primary School,542011,175689
Horn Park Primary School,540826,173663
Invicta Primary School,540412,177493
Kidbrooke Park Primary School,541246,176520
Meridian Primary School,538861,177987
Plumcroft Primary School,544151,177486
Sherington Primary School,540764,177627
Thorntree Primary School,541865,178397
Woodhill Primary School,542375,178697
Wyborne Primary School,543932,173264
Brooklands Primary School,540311,175836
Montbelle Primary School,543480,171884
Boxgrove Primary School,547069,179278
Rockliffe Manor Primary School,545525,177585
De Lucy Primary School,546656,179560
Wingfield Primary School,540576,175577
Cardwell Primary School,542625,178829
Foxfield Primary School,544122,178461
Windrush Primary School,546939,180338
Heronsgate Primary School,544736,179402
Linton Mead Primary School,546738,180895
Nightingale Primary School,543887,178056
Greenslade Primary School,544981,177699
Mulgrave Primary School,543186,178646
Charlton Manor Primary School,541549,177353
Christ Church Church of England Primary School,539398,178485
"Christ Church Church of England Primary School, Shooters Hill",543337,177003
Eltham Church of England Primary School,542989,174524
Our Lady of Grace Catholic Primary School,540913,177594
St Joseph's Catholic Primary School,539329,178289
St Margaret's Church of England Primary School,544274,178095
Saint Mary Magdalene Church of England Primary School,543204,178925
St Mary's Catholic Primary School,543505,174748
St Patrick's Catholic Primary School,544893,178594
St Alfege with St Peter's Church of England Primary School,538127,177732
St Peter's Catholic Primary School,543728,178491
St Thomas More Catholic Primary School,542156,175625
St Thomas A Beckett Roman Catholic Primary School,546166,179075
Holy Family Catholic Primary School,541151,175396
Notre Dame Catholic Primary School,543633,177821
St Margaret Clitherow Catholic Primary School,546767,180139
Bishop John Robinson Church of England Primary School,547142,180957
Eltham Hill School,542250,174421
Plumstead Manor School,544831,178057
Woolwich Polytechnic School for Boys,546432,180397
Crown Woods College,544345,174937
Thomas Tallis School,540856,175919
The John Roan School,539473,177429
St Ursula's Convent School,538590,177088
Blackheath Bluecoat Church of England School,540926,177226
St Thomas More Roman Catholic Comprehensive School,543353,174161
Hawksmoor School,546726,180495
The Pointer School,540209,177029
Blackheath Preparatory School,540095,176757
Riverston School,540433,174828
St Olave's Preparatory School,543704,172762
Colfes School,540572,174309
Heath House Preparatory School,539675,176150
Moatbridge School,541778,174205
Wentworth Nursery School and Children's Centre,535916,184524
Comet Nursery School and Children's Centre,533227,183661
Berger Primary School,535671,184827
Colvestone Primary School,533631,185118
Daubeney Primary School,536126,185583
De Beauvoir Primary School,533444,184690
Gainsborough Primary School,536980,184834
Lauriston School,535636,183779
London Fields Primary School,534642,183828
Millfields Community School,535218,185910
Morningside Primary School,535292,184869
Northwold Primary School,534289,186613
Orchard Primary School,535394,184242
Queensbridge Primary School,533825,184027
Randal Cremer Primary School,533638,183358
Princess May Primary School,533380,185516
Sebright School,534243,183445
Shacklewell Primary School,533714,185576
Southwold Primary School,535010,186746
Thomas Fairchild Community School,532494,183307
Tyssen Community Primary School,534111,187372
Whitmore Primary School,532859,183527
Woodberry Down Community Primary School,532393,187810
Kingsmead Primary School,536310,185685
Sir Thomas Abney School,533018,187474
Grasmere Primary School,532960,185754
Jubilee Primary School,534149,187016
Nightingale Primary School,534277,185987
Baden-Powell School,534738,186059
Harrington Hill Primary School,534968,187170
Holmleigh Primary School,533510,187449
Grazebrook Primary School,532963,186776
Parkwood Primary School,531839,186844
Benthal Primary School,534224,186153
Mandeville Primary School,536002,186066
Holy Trinity Church of England Primary School,533644,184605
Our Lady and St Joseph Roman Catholic Primary School,533335,184592
St John the Baptist Voluntary Aided Church of England Primary School,532997,183073
St Matthias Church of England Primary School,533258,185524
St Monica's Roman Catholic Primary School,533177,182792
St Paul's with St Michael's Primary School,534264,183839
St John of Jerusalem Church of England Primary School,535320,184155
"St Mary's Church of England Primary School, Stoke Newington",533102,186565
St Scholastica's Catholic Primary School,534408,186210
Simon Marks Jewish Primary School,533974,186970
Haggerston School,533829,183266
Stoke Newington School and Sixth Form,532927,186221
Our Lady's Convent Roman Catholic High School,533481,187911
The Urswick School - A Church of England Secondary School,535046,184634
Cardinal Pole Roman Catholic School,536208,185052
Yesodey Hatorah School,533530,187905
Talmud Torah Yetev Lev,534258,187015
Bnois Jerusalem Girls School,532994,187930
Beis Rochel d'Satmar Girls' School,533153,187929
Talmud Torah Machzikei Hadass School,534172,187722
Beis Malka Girls' School,533811,187086
Talmud Torah Chaim Meirim Wiznitz School,533841,187130
Talmud Torah Bobov Primary School,533958,187920
T T T Y Y School,533064,187207
Tayyibah Girls' School,534460,187173
Paragon Christian Academy,535773,185881
River House Montessori School,537643,179702
Stormont House School,534568,185541
Downsview School,534610,185902
Horizon School,533294,185654
Ickburgh School,534648,186397
Randolph Beresford Early Years Centre,522759,180583
Vanessa Nursery School,522645,179588
James Lee Nursery School,524114,178545
Bayonne Nursery School,524079,177674
The Bridge Academy,523727,176629
Addison Primary School,523706,179379
Avonmore Primary School,524403,178848
Brackenbury Primary School,522760,179365
Canberra Primary School,522938,180698
Miles Coverdale Primary School,523026,179840
Flora Gardens Primary School,522590,178797
Fulham Primary School,525224,177604
New King's Primary School,524737,176318
Kenmont Primary School,522501,182898
Langford Primary School,525887,176415
Lena Gardens Primary School,523316,179271
Melcombe Primary School,523607,177859
Old Oak Primary School,521948,181361
Queen's Manor School and Special Needs Unit,523582,177153
Sir John Lillie Primary School,524416,177532
Sulivan Primary School,525155,176169
Wendell Park Primary School,521631,179719
Wormholt Park Primary School,522318,180664
Greenside Primary School,522430,179776
