Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,,Sir John Cass's Foundation Primary School,Mixed,City of London,Duke's Place,EC3A 5DE,11,3,St James's Passage,London,Voluntary Aided School,533498,181201
,,City of London School for Girls,Girls,City of London,Barbican,EC2Y 8BB,18,7,St Giles' Terrace,London,Other Independent School,532301,181746
,,St Paul's Cathedral School,Mixed,City of London,,EC4M 9AD,13,4,2 New Change,London,Other Independent School,532160,181151
,,City of London School,Boys,City of London,,EC4V 3AL,18,10,Queen Victoria Street,London,Other Independent School,531981,180844
,,Thomas Coram Centre,Mixed,Camden,,WC1N 2QA,5,3,49 Mecklenburgh Square,London,LA Nursery School,530464,182403
,,Agincourt House,Mixed,Camden,,NW3 2NY,18,5,Agincourt Road,London,Pupil Referral Unit,527663,185479
,,Camden Primary Pupil Referral Unit,Mixed,Camden,,NW1 3JX,11,5,100 Stanhope Street,London,Pupil Referral Unit,529107,182641
,,Argyle Primary School,Mixed,Camden,,WC1H 9EG,11,3,Tonbridge Street,London,Community School,530238,182761
,,Beckford Primary School,Mixed,Camden,West Hampstead,NW6 1QL,11,3,Dornfell Street,London,Community School,524888,185067
,,Brecknock Primary School,Mixed,Camden,,NW1 9AL,11,3,Cliff Villas,London,Community School,529912,184835
,,Brookfield Primary School,Mixed,Camden,,N19 5DH,11,3,Chester Road,London,Community School,528706,186594
,,Carlton Primary School,Mixed,Camden,,NW5 4AX,11,3,Grafton Road,London,Community School,528386,185209
,,Edith Neville Primary School,Mixed,Camden,,NW1 1DN,11,3,174 Ossulston Street,London,Community School,529725,183195
,,Fleet Primary School,Mixed,Camden,,NW3 2QT,11,3,Fleet Road,London,Community School,527677,185424
,,Hawley Infant School,Mixed,Camden,,NW1 8NJ,7,3,Buck Street,London,Community School,528895,184038
,,Netley Primary School,Mixed,Camden,,NW1 3EN,11,3,30 William Road,London,Community School,529095,182598
,,New End Primary School,Mixed,Camden,Hampstead,NW3 1HU,11,3,Streatley Place,London,Community School,526483,185916
,,Primrose Hill School,Mixed,Camden,,NW1 8JL,11,3,Princess Road,London,Community School,528304,183909
,,Rhyl Primary School,Mixed,Camden,,NW5 3HB,11,3,Rhyl Street,London,Community School,528334,184823
,,Richard Cobden Primary School,Mixed,Camden,,NW1 0LL,11,3,Camden Street,London,Community School,529342,183487
,,Torriano Junior School,Mixed,Camden,Kentish Town,NW5 2SJ,11,7,Torriano Avenue,London,Community School,529559,185072
,,Torriano Infant School,Mixed,Camden,,NW5 2SJ,7,3,Torriano Avenue,London,Community School,529559,185072
,,Gospel Oak Primary School,Mixed,Camden,,NW3 2JB,11,3,Mansfield Road,London,Community School,528230,185638
,,Fitzjohn's Primary School,Mixed,Camden,,NW3 6NP,11,4,86A Fitzjohn's Avenue,London,Community School,526566,185411
,,Eleanor Palmer Primary School,Mixed,Camden,,NW5 2JA,11,3,Lupton Street,London,Community School,529117,185613
,,"Christ Church Primary School, Hampstead",Mixed,Camden,,NW3 1JH,11,4,Christ Church Hill,London,Voluntary Aided School,526518,186095
,,Christ Church School,Mixed,Camden,Camden,NW1 4BD,11,3,Redhill Street,London,Voluntary Aided School,528821,182991
,,Emmanuel Church of England Primary School,Mixed,Camden,,NW6 1NA,11,3,101 Mill Lane,London,Voluntary Aided School,525336,185264
,,Hampstead Parochial Church of England Primary School,Mixed,Camden,,NW3 6TX,11,4,Holly Bush Vale,London,Voluntary Aided School,526301,185733
,,"Holy Trinity CofE Primary School, NW3",Mixed,Camden,Maresfield Gardens,NW3 5SQ,11,4,Trinity Walk,London,Voluntary Aided School,526445,184601
,,"Holy Trinity and Saint Silas CofE Primary School, NW1",Mixed,Camden,,NW1 8DE,11,4,Hartland Road,London,Voluntary Aided School,528675,184432
,,Kentish Town Church of England Primary School,Mixed,Camden,,NW5 2TU,11,3,Islip Street,London,Voluntary Aided School,529113,185066
,,Rosary Roman Catholic Primary School,Mixed,Camden,Hampstead,NW3 2AE,11,3,238 Haverstock Hill,London,Voluntary Aided School,527199,185281
,,St Alban's Church of England Primary School,Mixed,Camden,Holborn,EC1N 7SD,11,3,Baldwins Gardens,London,Voluntary Aided School,531156,181834
,,St Aloysius Roman Catholic Junior School,Mixed,Camden,,NW1 1PS,11,7,Aldenham Street,London,Voluntary Aided School,529505,183062
,,St Aloysius Roman Catholic Infant School,Mixed,Camden,,NW1 1TA,7,3,28 Phoenix Road,London,Voluntary Aided School,529641,182910
,,St Dominic Catholic Primary School,Mixed,Camden,,NW5 4JS,11,3,Southampton Road,London,Voluntary Aided School,527842,185252
,,St George the Martyr Church of England Primary School,Mixed,Camden,,WC1N 2NX,11,3,John's Mews,London,Voluntary Aided School,530763,182065
,,St Josephs Primary School,Mixed,Camden,Drury Lane,WC2B 5NA,11,3,Macklin Street,London,Voluntary Aided School,530415,181368
,,St Mary's Kilburn Church of England Primary School,Mixed,Camden,Kilburn,NW6 4PG,11,3,Quex Road,London,Voluntary Aided School,525389,183932
,,St Mary and St Pancras Church of England Primary School,Mixed,Camden,,NW1 1QP,11,3,81 Werrington Street,London,Voluntary Aided School,529495,183146
,,St Michael's Church of England Primary School,Mixed,Camden,,NW1 0JA,11,3,88 Camden Street,London,Voluntary Aided School,529204,183886
,,St Patrick's Catholic Primary School,Mixed,Camden,,NW5 3AH,11,3,Holmes Road,London,Voluntary Aided School,528861,185010
,,St Paul's Church of England Primary School,Mixed,Camden,,NW3 3DS,11,4,Elsworthy Road,London,Voluntary Aided School,527498,184129
,,St Eugene de Mazenod Roman Catholic Primary School,Mixed,Camden,,NW6 4LS,11,4,Mazenod Avenue,London,Voluntary Aided School,525360,183998
,,Our Lady Roman Catholic Primary School,Mixed,Camden,Camden,NW1 0DP,11,3,Pratt Street,London,Voluntary Aided School,529268,183862
,,Haverstock School,Mixed,Camden,Chalk Farm,NW3 2BQ,18,11,24 Haverstock Hill,London,Community School,528159,184498
,,Parliament Hill School,Girls,Camden,,NW5 1RL,18,11,Highgate Road,London,Community School,528369,186019
,,Regent High School,Mixed,Camden,,NW1 1RG,18,11,Charrington Street,London,Community School,529527,183299
,,Hampstead School,Mixed,Camden,Hampstead,NW2 3RT,18,11,Westbere Road,London,Community School,524402,185633
,,Acland Burghley School,Mixed,Camden,,NW5 1UJ,18,11,Burghley Road,London,Community School,528962,185931
,,The Camden School for Girls,Girls,Camden,,NW5 2DB,18,11,Sandall Road,London,Voluntary Aided School,529441,184659
,,Maria Fidelis Roman Catholic Convent School FCJ,Girls,Camden,,NW1 1TA,18,11,34 Phoenix Road,London,Voluntary Aided School,529666,182953
,,William Ellis School,Boys,Camden,,NW5 1RN,18,11,Highgate Road,London,Voluntary Aided School,528267,186049
,,La Sainte Union Catholic Secondary School,Girls,Camden,,NW5 1RP,18,11,Highgate Road,London,Voluntary Aided School,528379,186191
,,Children's Hospital School at Gt Ormond Street and UCH,Mixed,Camden,Camden,WC1N 3JH,16,4,Great Ormond Street,London,Foundation Special School,530533,182041
,,St Christopher's School,Girls,Camden,,NW3 5AE,10,5,32 Belsize Lane,London,Other Independent School,526978,185153
,,St Margaret's School,Girls,Camden,,NW3 7SR,16,4,18 Kidderpore Gardens,London,Other Independent School,525551,185876
,,Sarum Hall School,Girls,Camden,,NW3 3EL,11,3,15 Eton Avenue,London,Other Independent School,527291,184479
,,The Hall School,Boys,Camden,Hampstead,NW3 4NU,13,5,23 Crossfield Road,London,Other Independent School,526932,184533
