EstablishmentName,Easting,Northing,lat,lng
Sir John Cass's Foundation Primary School,533498,181201,51.51396894535262,-0.07751626505544208
City of London School for Girls,532301,181746,51.51914791336013,-0.09455174037405477
St Paul's Cathedral School,532160,181151,51.51383394188717,-0.09680563630769515
City of London School,531981,180844,51.51111689803565,-0.0994985240259906
Thomas Coram Centre,530464,182403,51.5254790248935,-0.12076956780507524
Agincourt House,527663,185479,51.55376192180405,-0.1600081339202951
Camden Primary Pupil Referral Unit,529107,182641,51.52792945891149,-0.14023212479149083
Argyle Primary School,530238,182761,51.52874834864321,-0.1238931833261065
Beckford Primary School,524888,185067,51.55067990222381,-0.20015853626884797
Brecknock Primary School,529912,184835,51.54746159678633,-0.12782534319689362
Brookfield Primary School,528706,186594,51.563545262270445,-0.14456490781552775
Carlton Primary School,528386,185209,51.55117158537236,-0.1496841017677679
Edith Neville Primary School,529725,183195,51.532766535762214,-0.13112453231835605
Fleet Primary School,527677,185424,51.55326448558861,-0.15982626163859828
Hawley Infant School,528895,184038,51.54053224777356,-0.14277556042278305
Netley Primary School,529095,182598,51.52754577282255,-0.140420758285374
New End Primary School,526483,185916,51.557954723988956,-0.17686174626986784
Primrose Hill School,528304,183909,51.539507501601896,-0.15133969088289856
Rhyl Primary School,528334,184823,51.547714539638214,-0.15057435270889305
Richard Cobden Primary School,529342,183487,51.53547843679503,-0.13653595999232765
Torriano Junior School,529559,185072,51.54967251366724,-0.1328260994037716
Torriano Infant School,529559,185072,51.54967251366724,-0.1328260994037716
Gospel Oak Primary School,528230,185638,51.55506232582487,-0.15177655049960787
Fitzjohn's Primary School,526566,185411,51.55339778026443,-0.17584670414715656
Eleanor Palmer Primary School,529117,185613,51.554635515970176,-0.1389987743465965
"Christ Church Primary School, Hampstead",526518,186095,51.55955552140039,-0.17629279689639704
Christ Church School,528821,182991,51.53114006608849,-0.14422474093441703
Emmanuel Church of England Primary School,525336,185264,51.55235106909577,-0.1936304904284977
Hampstead Parochial Church of England Primary School,526301,185733,51.55635087921467,-0.179551338853723
"Holy Trinity CofE Primary School, NW3",526445,184601,51.54614555249055,-0.17788187601537148
"Holy Trinity and Saint Silas CofE Primary School, NW1",528675,184432,51.54412315720782,-0.1458021455338699
Kentish Town Church of England Primary School,529113,185066,51.54972074011711,-0.13925704002087566
Rosary Roman Catholic Primary School,527199,185281,51.55208725823904,-0.1667685725217457
St Alban's Church of England Primary School,531156,181834,51.520205529689875,-0.11101197608205061
St Aloysius Roman Catholic Junior School,529505,183062,51.53162177658511,-0.1343433446022746
St Aloysius Roman Catholic Infant School,529641,182910,51.53022462325225,-0.13243969512378168
St Dominic Catholic Primary School,527842,185252,51.55168143469233,-0.15751015947577165
St George the Martyr Church of England Primary School,530763,182065,51.52237246981103,-0.11658738823981915
St Josephs Primary School,530415,181368,51.51618920652561,-0.12185818852401724
St Mary's Kilburn Church of England Primary School,525389,183932,51.540368728707364,-0.19334069820837946
St Mary and St Pancras Church of England Primary School,529495,183146,51.532378946417964,-0.13445656871140654
St Michael's Church of England Primary School,529204,183886,51.5390956871576,-0.13837819956491781
St Patrick's Catholic Primary School,528861,185010,51.54927504632118,-0.14290992876634284
St Paul's Church of England Primary School,527498,184129,51.5416670734354,-0.16287549143486918
St Eugene de Mazenod Roman Catholic Primary School,525360,183998,51.54096830215776,-0.1937351535372353
Our Lady Roman Catholic Primary School,529268,183862,51.538865366703334,-0.137464709190887
Haverstock School,528159,184498,51.54483359568944,-0.15321501972491075
Parliament Hill School,528369,186019,51.558454666796806,-0.14963376793202846
Regent High School,529527,183299,51.533746568093996,-0.13393926162217396
Hampstead School,524402,185633,51.55587380240461,-0.20696425979813368
Acland Burghley School,528962,185931,51.55752869202445,-0.1411167138431294
The Camden School for Girls,529441,184659,51.545988098845974,-0.13467878067173727
Maria Fidelis Roman Catholic Convent School FCJ,529666,182953,51.53060531277059,-0.13206367728238755
William Ellis School,528267,186049,51.55874745150096,-0.15109337792890437
La Sainte Union Catholic Secondary School,528379,186191,51.55999810160371,-0.14942685243681064
Children's Hospital School at Gt Ormond Street and UCH,530533,182041,51.522209951002836,-0.11990952299133026
St Christopher's School,526978,185153,51.550986687920606,-0.1700005025887948
St Margaret's School,525551,185876,51.55780328355739,-0.19031287917888234
Sarum Hall School,527291,184479,51.54485913179628,-0.1657322776543478
The Hall School,526932,184533,51.54542521159964,-0.17088706734736075
University College School,526202,185414,51.553506213867855,-0.18109295599507716
The Cavendish School,528739,183866,51.539022110958314,-0.14508658627232252
St Mary's School,526543,185092,51.55053613812342,-0.17629292139926897
North Bridge House School,526368,184811,51.54805002340659,-0.17891635695209596
Hereward House School,527001,184495,51.54506820221132,-0.16990626328563063
St Anthony's Preparatory School,526536,185454,51.5537909373114,-0.17626371943780147
North Bridge House,526549,184913,51.54892615132078,-0.17627076414872792
Lyndhurst House Preparatory School,526875,185297,51.55230393850763,-0.1714333454736258
Hampstead Hill School,527085,185400,51.55318235377074,-0.1683689516580749
North Bridge House Senior School,528627,183598,51.536639187705816,-0.14679844241935466
Trevor-Roberts School,526981,184414,51.54434476765491,-0.17022372563087154
South Hampstead High School,526491,184607,51.546189173306345,-0.1772167037347396
The Village School,527781,184808,51.54770512944945,-0.15855060061389067
Heathside Preparatory School,526506,185985,51.5585696609724,-0.1765053499216406
Devonshire House Preparatory School,526456,185413,51.55344039963148,-0.17743171391122053
Broadhurst School,526211,184422,51.54458924330143,-0.18131876609384148
College Francais Bilingue De Londres,528672,184981,51.54905752761002,-0.1456447999495362
Royal School Hampstead,526640,185531,51.55445960609846,-0.17473677406376256
Fine Arts College,527362,184681,51.54665845522165,-0.164635913225303
Rainbow Montessori School,525526,184221,51.54293552215272,-0.191263317224697
The Mulberry House School,524350,185100,51.55109519762921,-0.2079021971587526
The Phoenix School,526485,184553,51.54570522769746,-0.17732257756475406
Southbank International School,526368,184950,51.5492991946016,-0.17886647570830913
Frank Barnes School for Deaf Children,526914,184112,51.541645808384374,-0.17129819129922572
Chalcot School,528594,184450,51.54430336450393,-0.14696298920852077
Royal Free Hospital Children's School,527297,185410,51.55322446743046,-0.16530923863462474
Swiss Cottage School - Development & Research Centre,526914,184029,51.540899902603975,-0.1713280925046551
Rachel McMillan Nursery School,537362,177674,51.48134945444625,-0.02323850045492878
Pound Park Nursery School,541837,178429,51.48703015982427,0.04146530916606455
Abbey Wood Nursery School,546762,178508,51.486484318232286,0.11238069085617909
Robert Owen Early Years Centre,539393,178453,51.487853052613026,0.006297866629559908
Newhaven Pupil Referral Unit,541731,175472,51.46048569281812,0.03875456230898928
Millennium Primary School,539725,179099,51.493576096548466,0.011331978291640938
Alderwood Primary School,545054,174230,51.44848449498861,0.0860445454154475
Bannockburn Primary School,545529,178546,51.48714415955123,0.09465071834872191
Morden Mount Primary School,538003,176437,51.47007774798327,-0.014496227417486341
Cherry Orchard Primary School,541222,177219,51.476311098984134,0.03213020570221434
Ealdham Primary School,541517,175119,51.45736718903016,0.0355351150389254
Fossdene Primary School,540841,178110,51.484412408992895,0.027002726578472573
Gallions Mount Primary School,545821,178268,51.48457104436741,0.09873859871031146
Gordon Primary School,542832,175288,51.45855578748239,0.0545176176502635
Greenacres Primary School and Language Impairment Unit,543070,172575,51.43411740740265,0.056845117855866226
Haimo Primary School,541948,174911,51.455390317743635,0.0416510395307994
Halstow Primary School,540019,178163,51.48509260543554,0.015193247119268574
Henwick Primary School,542011,175689,51.46236548963335,0.04286931818570486
Horn Park Primary School,540826,173663,51.44445587399854,0.025016927545589644
Invicta Primary School,540412,177493,51.478974697571395,0.02058335435593947
Kidbrooke Park Primary School,541246,176520,51.470024007146534,0.032196382788593415
Meridian Primary School,538861,177987,51.48379635418327,-0.00154260495343019
Plumcroft Primary School,544151,177486,51.47797209779586,0.07438538743360007
Sherington Primary School,540764,177627,51.48009139030299,0.025702176959045284
Thorntree Primary School,541865,178397,51.48673559729395,0.04185546411914184
Woodhill Primary School,542375,178697,51.48930324831671,0.04931665467138244
Wyborne Primary School,543932,173264,51.440090395705006,0.06951711046736053
Brooklands Primary School,540311,175836,51.46411006692657,0.01847255974778366
Montbelle Primary School,543480,171884,51.42780466284228,0.062459656159593466
Boxgrove Primary School,547069,179278,51.49332333489905,0.11711957848242116
Rockliffe Manor Primary School,545525,177585,51.47851014364932,0.0941974809763432
De Lucy Primary School,546656,179560,51.49596440388288,0.11129184088512727
Wingfield Primary School,540576,175577,51.4617170082427,0.022181928985041965
Cardwell Primary School,542625,178829,51.49042640944652,0.05296832470617343
Foxfield Primary School,544122,178461,51.48674043564055,0.07436563302627013
Windrush Primary School,546939,180338,51.50288156258719,0.11568938871647855
Heronsgate Primary School,544736,179402,51.49503912980844,0.08358811538446502
Linton Mead Primary School,546738,180895,51.507938574961145,0.11302708504826378
Nightingale Primary School,543887,178056,51.48316105825918,0.0708184914043247
Greenslade Primary School,544981,177699,51.47967407108542,0.08641617233241387
Mulgrave Primary School,543186,178646,51.48864036291591,0.060969098470045155
Charlton Manor Primary School,541549,177353,51.47743353920544,0.036889247574946715
Christ Church Church of England Primary School,539398,178485,51.488139371956166,0.00638245806151896
"Christ Church Church of England Primary School, Shooters Hill",543337,177003,51.473838697468764,0.06247625004963863
Eltham Church of England Primary School,542989,174524,51.451651081122094,0.05646729865635997
Our Lady of Grace Catholic Primary School,540913,177594,51.47975778754842,0.027833261141441155
St Joseph's Catholic Primary School,539329,178289,51.48639511293304,0.005312020188662307
St Margaret's Church of England Primary School,544274,178095,51.48341298709806,0.07640388066321331
Saint Mary Magdalene Church of England Primary School,543204,178925,51.491142806350766,0.06134126123624199
St Mary's Catholic Primary School,543505,174748,51.45353343903578,0.06397899242664316
St Patrick's Catholic Primary School,544893,178594,51.48773864960795,0.08551674572605097
St Alfege with St Peter's Church of England Primary School,538127,177732,51.481684498974126,-0.012206244560229243
St Peter's Catholic Primary School,543728,178491,51.48711019963688,0.06870716191927363
St Thomas More Catholic Primary School,542156,175625,51.461754028693235,0.044929452913587124
St Thomas A Beckett Roman Catholic Primary School,546166,179075,51.49173328583012,0.10403752377986265
Holy Family Catholic Primary School,541151,175396,51.459947580347205,0.030381153386357145
Notre Dame Catholic Primary School,543633,177821,51.481113944769554,0.06706756680521324
St Margaret Clitherow Catholic Primary School,546767,180139,51.501138135794015,0.11313033701346834
Bishop John Robinson Church of England Primary School,547142,180957,51.50839069319059,0.11887005205482261
Eltham Hill School,542250,174421,51.450911536130555,0.04579781983789796
Plumstead Manor School,544831,178057,51.482929289581264,0.08440432207405878
Woolwich Polytechnic School for Boys,546432,180397,51.503543180272494,0.10841443563536353
Crown Woods College,544345,174937,51.455018361338155,0.07613700674338542
Thomas Tallis School,540856,175919,51.464720629173556,0.026345892292874977
The John Roan School,539473,177429,51.478631712233486,0.0070452711679307245
St Ursula's Convent School,538590,177088,51.47578431986679,-0.005795353079721258
Blackheath Bluecoat Church of England School,540926,177226,51.476447754702846,0.027873656618228812
St Thomas More Roman Catholic Comprehensive School,543353,174161,51.44829730039869,0.0615552621124431
Hawksmoor School,546726,180495,51.504347554001555,0.11268802580031191
The Pointer School,540209,177029,51.474855543271495,0.01747806862032021
Blackheath Preparatory School,540095,176757,51.47243958724623,0.015729935422295276
Riverston School,540433,174828,51.45502201173913,0.019827686115057648
St Olave's Preparatory School,543704,172762,51.43563741187756,0.06603537149339825
Colfes School,540572,174309,51.45032384344454,0.021620876707992332
Heath House Preparatory School,539675,176150,51.46708885552807,0.009447037844497555
Moatbridge School,541778,174205,51.4490888800055,0.03892324102018982
Wentworth Nursery School and Children's Centre,535916,184524,51.54325391651074,-0.04141060041041148
Comet Nursery School and Children's Centre,533227,183661,51.53613935225145,-0.08048986362415747
