Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing,lat,lng
,,Sir John Cass's Foundation Primary School,Mixed,City of London,Duke's Place,EC3A 5DE,11,3,St James's Passage,London,Voluntary Aided School,533498,181201,51.51396894535262,-0.07751626505544208
,,City of London School for Girls,Girls,City of London,Barbican,EC2Y 8BB,18,7,St Giles' Terrace,London,Other Independent School,532301,181746,51.51914791336013,-0.09455174037405477
,,St Paul's Cathedral School,Mixed,City of London,,EC4M 9AD,13,4,2 New Change,London,Other Independent School,532160,181151,51.51383394188717,-0.09680563630769515
,,City of London School,Boys,City of London,,EC4V 3AL,18,10,Queen Victoria Street,London,Other Independent School,531981,180844,51.51111689803565,-0.0994985240259906
,,Thomas Coram Centre,Mixed,Camden,,WC1N 2QA,5,3,49 Mecklenburgh Square,London,LA Nursery School,530464,182403,51.5254790248935,-0.12076956780507524
,,Agincourt House,Mixed,Camden,,NW3 2NY,18,5,Agincourt Road,London,Pupil Referral Unit,527663,185479,51.55376192180405,-0.1600081339202951
,,Camden Primary Pupil Referral Unit,Mixed,Camden,,NW1 3JX,11,5,100 Stanhope Street,London,Pupil Referral Unit,529107,182641,51.52792945891149,-0.14023212479149083
,,Argyle Primary School,Mixed,Camden,,WC1H 9EG,11,3,Tonbridge Street,London,Community School,530238,182761,51.52874834864321,-0.1238931833261065
,,Beckford Primary School,Mixed,Camden,West Hampstead,NW6 1QL,11,3,Dornfell Street,London,Community School,524888,185067,51.55067990222381,-0.20015853626884797
,,Brecknock Primary School,Mixed,Camden,,NW1 9AL,11,3,Cliff Villas,London,Community School,529912,184835,51.54746159678633,-0.12782534319689362
,,Brookfield Primary School,Mixed,Camden,,N19 5DH,11,3,Chester Road,London,Community School,528706,186594,51.563545262270445,-0.14456490781552775
,,Carlton Primary School,Mixed,Camden,,NW5 4AX,11,3,Grafton Road,London,Community School,528386,185209,51.55117158537236,-0.1496841017677679
,,Edith Neville Primary School,Mixed,Camden,,NW1 1DN,11,3,174 Ossulston Street,London,Community School,529725,183195,51.532766535762214,-0.13112453231835605
,,Fleet Primary School,Mixed,Camden,,NW3 2QT,11,3,Fleet Road,London,Community School,527677,185424,51.55326448558861,-0.15982626163859828
,,Hawley Infant School,Mixed,Camden,,NW1 8NJ,7,3,Buck Street,London,Community School,528895,184038,51.54053224777356,-0.14277556042278305
,,Netley Primary School,Mixed,Camden,,NW1 3EN,11,3,30 William Road,London,Community School,529095,182598,51.52754577282255,-0.140420758285374
,,New End Primary School,Mixed,Camden,Hampstead,NW3 1HU,11,3,Streatley Place,London,Community School,526483,185916,51.557954723988956,-0.17686174626986784
,,Primrose Hill School,Mixed,Camden,,NW1 8JL,11,3,Princess Road,London,Community School,528304,183909,51.539507501601896,-0.15133969088289856
,,Rhyl Primary School,Mixed,Camden,,NW5 3HB,11,3,Rhyl Street,London,Community School,528334,184823,51.547714539638214,-0.15057435270889305
,,Richard Cobden Primary School,Mixed,Camden,,NW1 0LL,11,3,Camden Street,London,Community School,529342,183487,51.53547843679503,-0.13653595999232765
,,Torriano Junior School,Mixed,Camden,Kentish Town,NW5 2SJ,11,7,Torriano Avenue,London,Community School,529559,185072,51.54967251366724,-0.1328260994037716
,,Torriano Infant School,Mixed,Camden,,NW5 2SJ,7,3,Torriano Avenue,London,Community School,529559,185072,51.54967251366724,-0.1328260994037716
,,Gospel Oak Primary School,Mixed,Camden,,NW3 2JB,11,3,Mansfield Road,London,Community School,528230,185638,51.55506232582487,-0.15177655049960787
,,Fitzjohn's Primary School,Mixed,Camden,,NW3 6NP,11,4,86A Fitzjohn's Avenue,London,Community School,526566,185411,51.55339778026443,-0.17584670414715656
,,Eleanor Palmer Primary School,Mixed,Camden,,NW5 2JA,11,3,Lupton Street,London,Community School,529117,185613,51.554635515970176,-0.1389987743465965
,,"Christ Church Primary School, Hampstead",Mixed,Camden,,NW3 1JH,11,4,Christ Church Hill,London,Voluntary Aided School,526518,186095,51.55955552140039,-0.17629279689639704
,,Christ Church School,Mixed,Camden,Camden,NW1 4BD,11,3,Redhill Street,London,Voluntary Aided School,528821,182991,51.53114006608849,-0.14422474093441703
,,Emmanuel Church of England Primary School,Mixed,Camden,,NW6 1NA,11,3,101 Mill Lane,London,Voluntary Aided School,525336,185264,51.55235106909577,-0.1936304904284977
,,Hampstead Parochial Church of England Primary School,Mixed,Camden,,NW3 6TX,11,4,Holly Bush Vale,London,Voluntary Aided School,526301,185733,51.55635087921467,-0.179551338853723
,,"Holy Trinity CofE Primary School, NW3",Mixed,Camden,Maresfield Gardens,NW3 5SQ,11,4,Trinity Walk,London,Voluntary Aided School,526445,184601,51.54614555249055,-0.17788187601537148
,,"Holy Trinity and Saint Silas CofE Primary School, NW1",Mixed,Camden,,NW1 8DE,11,4,Hartland Road,London,Voluntary Aided School,528675,184432,51.54412315720782,-0.1458021455338699
,,Kentish Town Church of England Primary School,Mixed,Camden,,NW5 2TU,11,3,Islip Street,London,Voluntary Aided School,529113,185066,51.54972074011711,-0.13925704002087566
,,Rosary Roman Catholic Primary School,Mixed,Camden,Hampstead,NW3 2AE,11,3,238 Haverstock Hill,London,Voluntary Aided School,527199,185281,51.55208725823904,-0.1667685725217457
,,St Alban's Church of England Primary School,Mixed,Camden,Holborn,EC1N 7SD,11,3,Baldwins Gardens,London,Voluntary Aided School,531156,181834,51.520205529689875,-0.11101197608205061
,,St Aloysius Roman Catholic Junior School,Mixed,Camden,,NW1 1PS,11,7,Aldenham Street,London,Voluntary Aided School,529505,183062,51.53162177658511,-0.1343433446022746
,,St Aloysius Roman Catholic Infant School,Mixed,Camden,,NW1 1TA,7,3,28 Phoenix Road,London,Voluntary Aided School,529641,182910,51.53022462325225,-0.13243969512378168
,,St Dominic Catholic Primary School,Mixed,Camden,,NW5 4JS,11,3,Southampton Road,London,Voluntary Aided School,527842,185252,51.55168143469233,-0.15751015947577165
,,St George the Martyr Church of England Primary School,Mixed,Camden,,WC1N 2NX,11,3,John's Mews,London,Voluntary Aided School,530763,182065,51.52237246981103,-0.11658738823981915
,,St Josephs Primary School,Mixed,Camden,Drury Lane,WC2B 5NA,11,3,Macklin Street,London,Voluntary Aided School,530415,181368,51.51618920652561,-0.12185818852401724
,,St Mary's Kilburn Church of England Primary School,Mixed,Camden,Kilburn,NW6 4PG,11,3,Quex Road,London,Voluntary Aided School,525389,183932,51.540368728707364,-0.19334069820837946
,,St Mary and St Pancras Church of England Primary School,Mixed,Camden,,NW1 1QP,11,3,81 Werrington Street,London,Voluntary Aided School,529495,183146,51.532378946417964,-0.13445656871140654
,,St Michael's Church of England Primary School,Mixed,Camden,,NW1 0JA,11,3,88 Camden Street,London,Voluntary Aided School,529204,183886,51.5390956871576,-0.13837819956491781
,,St Patrick's Catholic Primary School,Mixed,Camden,,NW5 3AH,11,3,Holmes Road,London,Voluntary Aided School,528861,185010,51.54927504632118,-0.14290992876634284
,,St Paul's Church of England Primary School,Mixed,Camden,,NW3 3DS,11,4,Elsworthy Road,London,Voluntary Aided School,527498,184129,51.5416670734354,-0.16287549143486918
,,St Eugene de Mazenod Roman Catholic Primary School,Mixed,Camden,,NW6 4LS,11,4,Mazenod Avenue,London,Voluntary Aided School,525360,183998,51.54096830215776,-0.1937351535372353
,,Our Lady Roman Catholic Primary School,Mixed,Camden,Camden,NW1 0DP,11,3,Pratt Street,London,Voluntary Aided School,529268,183862,51.538865366703334,-0.137464709190887
,,Haverstock School,Mixed,Camden,Chalk Farm,NW3 2BQ,18,11,24 Haverstock Hill,London,Community School,528159,184498,51.54483359568944,-0.15321501972491075
,,Parliament Hill School,Girls,Camden,,NW5 1RL,18,11,Highgate Road,London,Community School,528369,186019,51.558454666796806,-0.14963376793202846
,,Regent High School,Mixed,Camden,,NW1 1RG,18,11,Charrington Street,London,Community School,529527,183299,51.533746568093996,-0.13393926162217396
,,Hampstead School,Mixed,Camden,Hampstead,NW2 3RT,18,11,Westbere Road,London,Community School,524402,185633,51.55587380240461,-0.20696425979813368
,,Acland Burghley School,Mixed,Camden,,NW5 1UJ,18,11,Burghley Road,London,Community School,528962,185931,51.55752869202445,-0.1411167138431294
,,The Camden School for Girls,Girls,Camden,,NW5 2DB,18,11,Sandall Road,London,Voluntary Aided School,529441,184659,51.545988098845974,-0.13467878067173727
,,Maria Fidelis Roman Catholic Convent School FCJ,Girls,Camden,,NW1 1TA,18,11,34 Phoenix Road,London,Voluntary Aided School,529666,182953,51.53060531277059,-0.13206367728238755
,,William Ellis School,Boys,Camden,,NW5 1RN,18,11,Highgate Road,London,Voluntary Aided School,528267,186049,51.55874745150096,-0.15109337792890437
,,La Sainte Union Catholic Secondary School,Girls,Camden,,NW5 1RP,18,11,Highgate Road,London,Voluntary Aided School,528379,186191,51.55999810160371,-0.14942685243681064
,,Children's Hospital School at Gt Ormond Street and UCH,Mixed,Camden,Camden,WC1N 3JH,16,4,Great Ormond Street,London,Foundation Special School,530533,182041,51.522209951002836,-0.11990952299133026
,,St Christopher's School,Girls,Camden,,NW3 5AE,10,5,32 Belsize Lane,London,Other Independent School,526978,185153,51.550986687920606,-0.1700005025887948
,,St Margaret's School,Girls,Camden,,NW3 7SR,16,4,18 Kidderpore Gardens,London,Other Independent School,525551,185876,51.55780328355739,-0.19031287917888234
